021-07-07 13:18:48,200 - DEBUG - Using function toMarkdown
2021-08-05 20:03:29,705 - DEBUG - Using function checkCompletion
2021-08-05 20:03:29,705 - INFO - Missing: ['receipt']
2021-08-05 20:03:29,707 - DEBUG - Using function saveDocument
2021-08-05 20:03:30,321 - DEBUG - Using function checkCompletion
2021-08-05 20:03:30,321 - INFO - Expense data is complete. Ready for database injection.
2021-08-05 20:03:30,321 - DEBUG - Using function injectData
2021-08-05 20:03:30,323 - INFO - Expense b83ae5d8-175d-48fd-bfe7-0cc5d05668b8 added to the databse for user thedropper
2021-08-05 20:03:38,048 - DEBUG - Using function totalPending
2021-08-05 20:03:38,048 - DEBUG - Using function toMarkdown
2021-08-06 09:23:19,475 - DEBUG - Using function parseText
2021-08-06 09:23:19,475 - DEBUG - Using function getCurrency
2021-08-06 09:23:19,475 - DEBUG - Using function getAmount
2021-08-06 09:23:19,475 - DEBUG - Using function getType
2021-08-06 09:23:19,475 - DEBUG - Using function getCurrency
2021-08-06 09:23:19,475 - DEBUG - Using function checkCompletion
2021-08-06 09:23:19,475 - INFO - Missing: ['reason', 'receipt']
2021-08-06 09:23:24,294 - DEBUG - Using function parseText
2021-08-06 09:23:24,294 - DEBUG - Using function getCurrency
2021-08-06 09:23:24,294 - DEBUG - Using function getAmount
2021-08-06 09:23:24,295 - DEBUG - Using function getType
2021-08-06 09:23:24,295 - DEBUG - Using function getCurrency
2021-08-06 09:23:24,295 - DEBUG - Using function checkCompletion
2021-08-06 09:23:24,295 - INFO - Missing: ['reason', 'receipt']
2021-08-06 09:23:29,623 - DEBUG - Using function saveDocument
2021-08-06 09:23:30,090 - DEBUG - Using function checkCompletion
2021-08-06 09:23:30,091 - INFO - Missing: ['reason']
2021-08-06 15:33:37,651 - DEBUG - Using function parseText
2021-08-06 15:33:37,651 - DEBUG - Using function getCurrency
2021-08-06 15:33:37,651 - DEBUG - Using function getAmount
2021-08-06 15:33:37,651 - DEBUG - Using function getType
2021-08-06 15:33:37,652 - DEBUG - Using function getCurrency
2021-08-06 15:33:37,652 - DEBUG - Using function checkCompletion
2021-08-06 15:33:37,652 - INFO - Expense data is complete. Ready for database injection.
2021-08-06 15:33:37,652 - DEBUG - Using function injectData
2021-08-06 15:33:37,654 - INFO - Expense f63b5375-a25f-42aa-a7bd-d9e961a60072 added to the databse for user thedropper
2021-08-06 15:34:00,401 - DEBUG - Using function totalPending
2021-08-06 15:34:00,401 - DEBUG - Using function toMarkdown
2021-08-06 15:36:59,253 - DEBUG - Using function totalPending
2021-08-06 15:36:59,253 - DEBUG - Using function toMarkdown
2021-08-06 15:37:55,671 - DEBUG - Using function totalPending
2021-08-06 15:37:55,671 - DEBUG - Using function toMarkdown
2021-08-06 17:28:23,611 - DEBUG - Using function totalPending
2021-08-06 17:28:23,611 - DEBUG - Using function toMarkdown
2021-08-07 15:35:40,393 - DEBUG - Using function totalPending
2021-08-07 15:35:40,393 - DEBUG - Using function toMarkdown
2021-08-07 15:35:48,665 - DEBUG - Using function totalPending
2021-08-07 15:35:48,666 - DEBUG - Using function toMarkdown
2021-08-11 10:54:01,206 - INFO - Initialising the classes
2021-08-11 10:54:01,208 - INFO - Starting the bot
2021-08-11 10:54:01,210 - INFO - Starting the server
2021-08-11 10:54:01,417 - INFO - Server started
2021-08-11 10:54:03,445 - DEBUG - Using function totalPending
2021-08-11 10:54:03,445 - DEBUG - Using function toMarkdown
2021-08-11 10:54:34,872 - INFO - Initialising the classes
2021-08-11 10:54:34,875 - INFO - Starting the bot
2021-08-11 10:54:34,895 - INFO - Starting the server
2021-08-11 10:54:35,069 - INFO - Server started
2021-08-11 10:54:42,999 - DEBUG - Using function totalPending
2021-08-11 10:54:43,000 - DEBUG - Using function toMarkdown
2021-08-11 23:24:43,682 - DEBUG - Using function totalPending
2021-08-11 23:24:43,682 - DEBUG - Using function toMarkdown
2021-08-16 15:37:55,647 - DEBUG - Using function totalPending
2021-08-16 15:37:55,648 - DEBUG - Using function toMarkdown
2021-08-17 18:32:24,482 - DEBUG - Using function parseText
2021-08-17 18:32:24,536 - DEBUG - Using function parseText
2021-08-17 18:34:53,230 - DEBUG - Using function parseText
2021-08-17 18:34:53,289 - DEBUG - Using function parseText
2021-08-17 18:36:51,239 - DEBUG - Using function parseText
2021-08-17 18:36:51,291 - DEBUG - Using function parseText
2021-08-18 09:18:25,676 - DEBUG - Using function parseText
2021-08-18 09:19:30,649 - DEBUG - Using function parseText
2021-08-18 09:20:32,910 - DEBUG - Using function parseText
2021-08-18 09:23:35,698 - DEBUG - Using function parseText
2021-08-18 09:23:35,699 - DEBUG - Using function getCurrency
2021-08-18 09:23:35,700 - DEBUG - Using function getAmount
2021-08-18 09:23:35,700 - DEBUG - Using function getType
2021-08-18 09:23:35,701 - DEBUG - Using function getCurrency
2021-08-18 09:25:11,253 - DEBUG - Using function parseText
2021-08-18 09:25:11,254 - DEBUG - Using function getCurrency
2021-08-18 09:25:11,255 - DEBUG - Using function getAmount
2021-08-18 09:25:11,256 - DEBUG - Using function getType
2021-08-18 09:25:11,256 - DEBUG - Using function getCurrency
2021-08-18 09:25:30,016 - DEBUG - Using function parseText
2021-08-18 09:25:30,018 - DEBUG - Using function getCurrency
2021-08-18 09:25:30,018 - DEBUG - Using function getAmount
2021-08-18 09:25:30,019 - DEBUG - Using function getType
2021-08-18 09:25:30,020 - DEBUG - Using function getCurrency
2021-08-18 09:28:35,957 - DEBUG - Using function parseText
2021-08-18 09:28:35,959 - DEBUG - Using function getCurrency
2021-08-18 09:28:35,960 - DEBUG - Using function getAmount
2021-08-18 09:28:35,961 - DEBUG - Using function getType
2021-08-18 09:28:35,962 - DEBUG - Using function getCurrency
2021-08-18 09:29:53,174 - DEBUG - Using function parseText
2021-08-18 09:29:53,175 - DEBUG - Using function getCurrency
2021-08-18 09:29:53,176 - DEBUG - Using function getAmount
2021-08-18 09:29:53,177 - DEBUG - Using function getType
2021-08-18 09:29:53,177 - DEBUG - Using function getCurrency
2021-08-18 09:30:45,719 - DEBUG - Using function parseText
2021-08-18 09:30:45,721 - DEBUG - Using function getCurrency
2021-08-18 09:30:45,721 - DEBUG - Using function getAmount
2021-08-18 09:30:45,722 - DEBUG - Using function getType
